Column;de;en
armortype_atfortified;Verstärkt;Fortified
armortype_atfortified_hint;- Verstärkte Rüstung -\nErhält 400% Schaden durch Belagerungswaffen.;- Fortified Armor -\nGains 400% damage from siege units.
armortype_atfortified_caption;0%;0%
armortype_atheavy;Schwer;Heavy
armortype_atheavy_hint;- Schwere Rüstung -\nErhält aus allen Quellen 30% verminderten Schaden und reduziert ihn danach zusätzlich um 5. Der Schaden kann maximal auf 1 reduziert werden.;- Heavy Armor -\nReduces all damage by 30% and additionally by 5. Damage can only be reduced to 1 at max.
armortype_atheavy_caption;30% (+5);30% (+5)
armortype_atlight;Leicht;Light
armortype_atlight_hint;- Leichte Rüstung -\nErhält aus allen Quellen 15% verminderten Schaden.;- Light Armor -\nReduces all damage by 15%.
armortype_atlight_caption;15%;15%
armortype_atmedium;Mittelstark;Medium
armortype_atmedium_hint;- Mittelstarke Rüstung -\nErhält von Fernkämpfern 30%, ansonsten 20% verminderten Schaden.;- Medium Armor -\nReduces all ranged damage by 30% and any other damage by 20%.
armortype_atmedium_caption;20% (30%);20% (30%)
armortype_atunarmored;Keine;Unarmored
armortype_atunarmored_hint;- Keine Rüstung -\nBekommt aus allen Quellen unverändert Schaden.;- Unarmored -\nDoesn't reduce any incoming damage.
armortype_atunarmored_caption;0%;0%
damagetype_dtmelee_hint;- Nahkampfangriff -\nDiese Einheit bekämpft Einheiten im Nahkampf.;- Melee Attack -\nThis unit fights enemies within Melee range.
damagetype_dtranged_hint;- Fernkampfangriff -\nDiese Einheit bekämpt Einheiten auf Distanz.;- Ranged Attack -\nThis unit fights enemies from a distance.
damagetype_dtsiege_hint;- Belagerungsschaden -\nDiese Einheit ist besonders effektiv gegen Gebäude und teilt vierfachen Schaden gegen Verstärkte Rüstung aus.;- Siege Damage- \nThis unit is most efficient against buildings, dealing quadruple damage against fortified armor.
dps;Schaden pro Sekunde. Fügt %s Schaden alle %s Sekunden über eine Distanz von %s zu.;Damage per second. Deals %s damage every %s second within a range of %s.
dps_melee;Schaden pro Sekunde. Fügt %s Schaden alle %s Sekunden im Nahkampf zu.;Damage per second. Deals %s damage every %s second within melee range.
melee;Nahkampf;Melee
indestructible;Unzerstörbar;Indestructible
indestructiblehint;Unzerstörbare Entitäten nehmen keinen Schaden und können nicht zerstört werden.;Indestructible units can't take damage and can't be destroyed.
;;
card_tier;Stufe;Stage
;;
card_name_aegis;Aegis IX, Die Letzte Bastion;Aegis IX, The Last Frontier 
card_name_ammorefill;Nachladen;Reload
card_description_ammorefill;Lädt die Munition des verbündeten Ziels nach. Die Menge orientiert sich an der Phase des Ziels.\n  Phase I - 100%\n  Phase II - 50%\n  Phase III - 25%\n  Legendär - 25%\n  Basisgebäude - 20%;Reloads the targeted ally with ammunition. The amount depends on the target's stage.\n  Stage I - 100%\n  Stage II - 50%\n  Stage III - 25%\n  Legendary - 25%\n  Base buildings - 20%
card_short_description_ammorefill;Lädt die Munition des verbündeten Ziels nach.;Refills the targeted ally with ammunition.
card_name_archer;Bogenschütze;Archer
card_name_archer_drop;Bogenschützen;Archers
card_name_archer_spawner;Bogenschützen-Spawner;Archers Spawner
card_name_avenger;Rächer;Avenger
card_name_avenger_drop;Rächer;Avengers
card_name_avenger_spawner;Rächer-Spawner;Avengers Spawner
card_name_ballista;Balliste;Ballista
card_name_ballista_spawner;Ballisten-Spawner;Ballista Spawner
card_name_basetower;Basisturm;Basetower
card_name_bigcastergolem;Kristallcrescendo;Crystal Crescendo
card_name_bigcastergolem_drop;Kristallcrescendo;Crystal Crescendo
card_name_bigcastergolem_spawner;Kristallcrescendo-Spawner;Crystal Crescendo Spawner
card_name_bigflyinggolem;Kristallaufseher;Crystal Overseer
card_name_bigflyinggolem_drop;Kristallaufseher;Crystal Overseer
card_name_bigflyinggolem_spawner;Kristallaufseher-Spawner;Crystal Overseer Spawner
card_name_biggolemtower;Kristalltempel;Crystal Temple
card_name_bigmeleegolem;Granitfürst;Granite Chieftain
card_name_bigmeleegolem_drop;Granitfürst;Granite Chieftain
card_name_bigmeleegolem_spawner;Granitfürst-Spawner;Granite Chieftain Spawner
card_name_bossgolem;Granithüter;Granite Guardian
card_name_bossgolemsurvival;Granitweltenbrecher;Granite Worldbreaker
card_name_bosssiegegolemtutorial;Granitweltenbrecher;Granite Worldbreaker
card_name_bosssiegegolemattack;Granitweltenbrecher;Granite Worldbreaker
card_name_bosssiegegolemattackduo;Granitweltenbrecher;Granite Worldbreaker
card_name_brratu;Brratu, Bewahrer der Natur;Brratu, Keeper of Nature
card_name_defender;Lothar, Wall des Lichts;Lothar, Wall of Light
card_name_defender_spawner;Lothar, Wall des Lichts-Spawner;Lothar, Wall of Light Spawner
card_name_entanglingroots;Wucherwurzeln;Entangling Roots
card_description_entanglingroots;Verwurzelt bis zu 12 gegnerische Einheiten. §effect_root_description;Roots up to 12 enemy targets for 15 seconds. §effect_root_description
card_short_description_entanglingroots;Verwurzelt gegnerische Einheiten für eine kurze Zeit.;Roots enemy targets for a short time.
card_name_evolveoracle;Evolution: Orakel;Evolve: Oracle
card_description_evolveoracle;Lässt einen verbündeten Saatling zu einem Orakel mit heranwachsen. Da die Transformation sehr kräftezehrend ist, entsteht es nur mit 40% Leben.;Evolves an allied Sapling into an Oracle. As the transformation is very debilitating, it is summoned with only 40% health.
card_short_description_evolveoracle;Lässt einen verbündeten Saatling zu einem Orakel heranwachsen.;Evolves an allied Sapling into an Oracle. 
card_name_evolvethistle;Evolution: Distel;Evolve: Thistle
